task_id,answer
k09698,D
k00203,B
k00137,B
k10490,C
rt03960,B
k08953,a
k04984,C
k08669,B
k09210,A
k11104,C
k11497,C
rt06011,B
k07094,C
k00242,B
k00664,C
rt03041,A
k04698,C
k02386,B
k11417,B
k00576,C
k10886,A
k10625,C
rt07797,B
k00727,C
k11221,D
k11484,B
k00487,B
k09258,D
k11372,B
k08858,A
rt05142,C
k04242,C
k07646,C
k11369,C
k00362,D
rt03568,B
k00386,B
k10136,D
rt07775,B
k09337,C
rt04548,B
rt01973,B
k09767,C
k00192,B
rt01980,C
k11406,A
k09065,B
k07537,B
k10312,C
rt02096,B
k00254,A
rt05274,A
k05645,A
k04920,C
k00241,A
k11161,A
k06759,A
rt07554,A
k11259,C
k08427,C
rt07312,No
k11210,B
k00222,Yes
k11174,B
k11267,D
k00536,B
rt08375,D
rt05715,B
k00448,D
rt01057,B
rt06976,C
k10480,B
k08495,C
k11023,A
rt02230,B
k08863,B
k10758,B
k03755,D
k11241,B
k08640,B
rt07279,B
k00277,A
k04680,A
rt02876,B
rt05746,D
k11263,B
k08251,B
k11132,B
k10839,B
rt00978,B
k10780,B
k07294,A
k11207,D
rt05533,C
rt04805,D
k07505,C
k07449,(
rt02344,D
rt00707,C
rt01327,C
k09123,D
rt02359,D
k11157,A
rt00778,C
k10206,D
rt01109,ans
rt02057,D
k11065,B
rt00950,D
k08555,A
rt03099,D
k02901,D
k08893,D
k00191,B
rt01483,C
rt08327,No
k00039,A
k10591,C
k07029,C
rt01404,C
k07558,C
k10834,B
rt07621,B
k11176,C
rt01791,C
k06539,A
rt06226,B
k00504,D
k01479,A
rt06471,B
k00310,C
k10723,A
k00559,A
rt05114,B
k00920,D
k03897,A
k00107,B
k03977,B
rt03919,A
rt04237,B
rt01174,C
rt08161,C
rt01587,D
k00170,A
k05023,A
rt01037,D
k06118,C
rt01468,B
k10394,B
k01259,D
k06875,C
k09216,A
k10923,A
k00514,C
k01799,B
k02597,A
k01284,D
k01022,A
k00075,A
k00645,C
k08310,B
rt00559,D
k05932,D
k03229,C
rt02102,B
k10820,D
k10666,B
k02209,C
rt01757,B
k07590,C
k00424,B
k08905,(
rt07857,C
rt02859,A
rt04637,B
k06127,B
rt04711,C
k01726,B
k08817,B
k01322,D
k02291,B
k02289,C
rt00282,B
rt00404,B
k11329,B
k10336,C
rt05550,A
k10291,C
k10375,A
k10663,C
k11303,B
rt07564,A
k00631,B
rt01983,B
k00164,B
k10478,A
k03292,C
rt00887,C
k06176,B
k00573,B
k00082,True
k08839,D
k09803,B
k10559,A
rt01576,A
rt04372,A
k08709,C
k08373,A
rt00576,C
rt00683,C
rt01235,D
k09552,D
k09344,C
k00390,C
k01460,A
k08821,A
k09673,A
k11257,D
k11078,A
k07197,A
rt04738,No
rt02095,D
rt00998,C
rt02133,A
rt05661,Time
k10631,C
k00419,C
rt04940,C
rt02813,C
k00078,B
rt06433,B
rt03017,C
rt01405,A
k07207,C
rt02861,A
k09401,A
k07781,D
k10549,C
k09079,A
k08593,C
rt04622,A
k03860,C
k05043,D
rt02302,D
k09392,A
rt05639,A
k06700,C
rt04336,D
k00147,C
rt00635,C
k08626,C
k11478,B
k10361,B
k00568,A
rt01451,B
rt06199,B
rt00268,B
rt00898,D
k10579,D
k09732,D
rt05035,No
k05302,C
k00165,A
rt03750,B
k00023,A
rt01055,C
rt05447,C
k10272,C
rt02269,B
k10215,A
k00402,B
rt01225,B
k01617,B
k00528,D
rt04476,C
k07251,D
rt03285,A
k11507,C
k00358,C
k07786,C
k09366,A
k05757,C
k07286,B
k08797,B
k10163,C
k07711,B
k02506,C
k09813,A
k07434,C
k08378,B
rt00384,D
k11470,C
k11271,D
k01015,D
k11134,A
rt05987,C
rt01350,A
k10674,C
rt06252,B
k05046,C
rt03589,D
k01400,C
rt02013,D
k00691,C
k07648,B
k00180,B
rt03849,B
rt01942,A
k00700,B
k03093,A
k01044,A
k05080,C
k07813,B
rt06607,B
k01257,B
k11405,C
k02623,A
rt04257,A
rt01954,C
rt08355,C
k00373,A
k00673,C
k00689,Cap
k10184,D
k08883,B
rt02363,A
k11314,A
k08798,B
k10532,B
k08408,B
k10113,C
rt02362,D
k00026,B
rt00882,C
rt07875,No
rt02800,B
k00493,A
rt00791,B
k10360,B
rt04363,A
k08722,B
k09934,B
k10940,B
rt04116,B
rt01779,C
rt00563,A
k09304,B
rt03434,B
k11495,B
k09035,D
rt00649,C
rt02480,A
k06051,D
k01065,A
k00622,A
k02963,C
rt01912,B
rt03483,C
rt01850,A
rt04066,A
k07256,D
rt03296,A
k00173,B
k00506,C
k10756,C
k02798,B
rt01614,C
k11428,D
k06226,C
k08273,A
rt07136,C
k00266,B
rt00644,A
rt03312,D
rt00487,B
k09400,C
k00481,C
k11111,A
k09444,A
k02822,A
k09638,C
rt01454,A
k11537,A
k07165,C
rt02288,D
k10553,B
k07469,A
k00088,A
k10423,It
rt04160,C
k00433,D
k01738,A
k00077,A
k11466,C
k00008,A
k08238,B
k03738,B
rt07119,B
k11159,D
k02080,B
k01588,A
k10541,C
k05957,C
rt02240,B
k01845,B
k10151,C
rt08020,No
rt04966,A
rt04321,B
rt07033,A
k02128,A
rt01043,C
rt00704,D
rt00249,C
k00224,Yes
rt02163,C
rt05679,A
k10234,D
k00398,A
rt02948,B
k05682,A
rt01219,B
rt05206,B
rt03546,D
k04413,C
k04783,B
k10345,A
rt01164,B
k00269,A
k11368,B
k03933,C
k07174,B
k03719,A
rt01032,C
rt00970,B
rt02478,C
rt03433,C
rt00926,A
k09381,C
k10807,A
rt02459,B
k00687,B
k01327,A
rt00901,C
k00267,C
k10948,B
rt01153,B
k08578,D
k10835,D
k10385,C
k09422,C
k10249,A
rt00953,B
rt03794,B
k08914,B
k06321,C
k11367,(
k00450,C
k09272,A
k08654,A
k08628,A
rt02467,C
rt02297,C
rt02092,B
rt01340,C
k00485,B
rt07545,Time
k04442,C
rt06857,C
k08684,B
rt05545,C
k00565,C
k00110,D
k10707,(d
rt07526,Time
k09600,B
k08656,A
rt08187,No
k06034,A
rt00597,A
k11017,C
k02510,C
k10571,A
k10281,A
k00512,B
k03709,B
k00503,B
k00324,B
k01989,A
rt07576,C
rt06306,C
k03496,A
k01432,B
rt00841,C
k02264,D
k03200,A
k11299,B
k02047,C
k10753,D
k05538,FALSE
rt00866,D
k11483,A
rt03622,C
k10658,B
k08852,D
rt06099,No
k01099,B
k08631,A
k00581,C
k11494,B
k00476,A
k02862,A
rt06605,C
rt00984,D
rt06381,C
k00347,A
k02141,B
k03617,B
k10632,C
rt01334,D
k11131,B
k00623,A
rt02342,B
k02556,C
k04205,A
k08425,D
k11281,D
k10691,D
k09357,A
k08471,A
rt01801,C
k00365,B
k08584,C
k10982,D
rt00262,D
k11044,D
k00870,A
k00404,D
rt00662,A
k01500,B
rt00366,A
rt08086,B
rt00833,C
k05597,C
k09428,C
k10575,C
k07688,D
rt00807,B
rt01160,C
k09551,C
k04492,D
k00656,B
rt04536,Time
k02701,A
k00190,B
rt04006,C
rt06757,No
k00417,B
rt01644,B
rt03985,C
k11079,b
rt01415,D
rt01258,B
k09825,C
k08630,B
k00400,hasClass
rt00486,B
k02183,C
k10618,D
rt05258,D
k00439,B
k10238,A
k10467,C
k01730,C
k07807,C
rt04859,D
k08635,D
rt03897,D
k06040,B
rt01466,C
k07155,C
k02993,B
k10821,B
rt03803,B
k02895,C
k10400,C
k06778,C
k08603,C
k11033,C
rt04388,B
k04144,A
k03826,A
rt07537,C
rt03274,D
rt04698,C
k09390,B
rt02343,A
k02547,B
k09055,C
k00262,A
k00447,B
rt04163,B
rt00445,B
k00134,C
k04412,A
rt02131,C
k01652,A
k03670,D
rt06313,C
k00675,A
k11067,B
k11419,B
k00589,B
rt01309,C
rt00879,B
rt01134,C
k11334,D
k02586,B
k00612,C
rt01237,A
k05087,A
rt07075,C
