task_id,answer
k09698,B
k00203,B
k00137,B
k10490,C
rt03960,B
k08953,B
k04984,A
k08669,B
k09210,D
k11104,C
k11497,C
rt06011,B
k07094,B
k00242,B
k00664,C
rt03041,A
k04698,C
k02386,B
k11417,B
k00576,C
k10886,B
k10625,B
rt07797,B
k00727,C
k11221,B
k11484,B
k00487,B
k09258,D
k11372,B
k08858,B
rt05142,A
k04242,B
k07646,C
k11369,B
k00362,D
rt03568,A
k00386,B
k10136,D
rt07775,B
k09337,B
rt04548,B
rt01973,B
k09767,C
k00192,B
rt01980,A
k11406,A
k09065,B
k07537,B
k10312,C
rt02096,B
k00254,A
rt05274,D
k05645,A
k04920,C
k00241,A
k11161,A
k06759,A
rt07554,A
k11259,C
k08427,A
rt07312,C
k11210,B
k00222,A
k11174,B
k11267,D
k00536,B
rt08375,D
rt05715,B
k00448,D
rt01057,B
rt06976,C
k10480,B
k08495,C
k11023,A
rt02230,B
k08863,D
k10758,D
k03755,A
k11241,B
k08640,A
rt07279,B
k00277,A
k04680,A
rt02876,B
rt05746,A
k11263,B
k08251,B
k11132,B
k10839,C
rt00978,B
k10780,D
k07294,B
k11207,D
rt05533,C
rt04805,D
k07505,C
k07449,B
rt02344,A
rt00707,B
rt01327,C
k09123,D
rt02359,A
k11157,A
rt00778,A
k10206,B
rt01109,C
rt02057,D
k11065,B
rt00950,A
k08555,A
rt03099,B
k02901,D
k08893,D
k00191,B
rt01483,B
rt08327,D
k00039,D
k10591,A
k07029,C
rt01404,C
k07558,C
k10834,A
rt07621,B
k11176,C
rt01791,C
k06539,A
rt06226,B
k00504,D
k01479,A
rt06471,A
k00310,C
k10723,D
k00559,A
rt05114,B
k00920,A
k03897,A
k00107,B
k03977,A
rt03919,D
rt04237,C
rt01174,D
rt08161,C
rt01587,D
k00170,A
k05023,A
rt01037,B
k06118,C
rt01468,A
k10394,A
k01259,D
k06875,A
k09216,A
k10923,A
k00514,C
k01799,B
k02597,A
k01284,A
k01022,A
k00075,A
k00645,C
k08310,B
rt00559,D
k05932,D
k03229,A
rt02102,B
k10820,D
k10666,B
k02209,A
rt01757,B
k07590,C
k00424,B
k08905,C
rt07857,C
rt02859,A
rt04637,B
k06127,B
rt04711,C
k01726,B
k08817,B
k01322,D
k02291,B
k02289,C
rt00282,B
rt00404,B
k11329,B
k10336,A
rt05550,A
k10291,D
k10375,B
k10663,A
k11303,B
rt07564,B
k00631,B
rt01983,A
k00164,B
k10478,C
k03292,A
rt00887,C
k06176,B
k00573,B
k00082,A
k08839,C
k09803,B
k10559,A
rt01576,D
rt04372,A
k08709,B
k08373,A
rt00576,C
rt00683,C
rt01235,D
k09552,D
k09344,A
k00390,C
k01460,A
k08821,D
k09673,D
k11257,D
k11078,A
k07197,B
rt04738,D
rt02095,D
rt00998,A
rt02133,A
rt05661,A
k10631,D
k00419,C
rt04940,C
rt02813,C
k00078,B
rt06433,B
rt03017,B
rt01405,A
k07207,A
rt02861,B
k09401,A
k07781,D
k10549,A
k09079,B
k08593,C
rt04622,A
k03860,C
k05043,D
rt02302,D
k09392,D
rt05639,B
k06700,C
rt04336,A
k00147,C
rt00635,C
k08626,C
k11478,B
k10361,B
k00568,A
rt01451,A
rt06199,A
rt00268,B
rt00898,B
k10579,C
k09732,B
rt05035,D
k05302,B
k00165,A
rt03750,B
k00023,A
rt01055,A
rt05447,C
k10272,B
rt02269,A
k10215,D
k00402,B
rt01225,B
k01617,B
k00528,D
rt04476,C
k07251,D
rt03285,B
k11507,A
k00358,C
k07786,C
k09366,A
k05757,C
k07286,B
k08797,B
k10163,A
k07711,D
k02506,C
k09813,B
k07434,A
k08378,B
rt00384,D
k11470,C
k11271,C
k01015,D
k11134,B
rt05987,C
rt01350,A
k10674,A
rt06252,A
k05046,B
rt03589,D
k01400,B
rt02013,D
k00691,C
k07648,B
k00180,B
rt03849,B
rt01942,A
k00700,B
k03093,B
k01044,A
k05080,D
k07813,A
rt06607,A
k01257,B
k11405,C
k02623,A
rt04257,C
rt01954,C
rt08355,C
k00373,C
k00673,C
k00689,B
k10184,B
k08883,D
rt02363,B
k11314,A
k08798,A
k10532,B
k08408,A
k10113,A
rt02362,D
k00026,B
rt00882,C
rt07875,D
rt02800,A
k00493,A
rt00791,B
k10360,A
rt04363,C
k08722,A
k09934,A
k10940,B
